<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX,60,20210115,200000,159.8300000
MOEX,60,20210115,210000,159.7000000
MOEX,60,20210115,220000,159.7800000
MOEX,60,20210115,230000,159.8000000
MOEX,60,20210116,000000,159.9000000
MOEX,60,20210118,110000,159.8200000
MOEX,60,20210118,120000,159.9300000
MOEX,60,20210118,130000,159.8300000
MOEX,60,20210118,140000,159.8300000
MOEX,60,20210118,150000,159.8900000
MOEX,60,20210118,160000,159.9300000
MOEX,60,20210118,170000,159.7700000
MOEX,60,20210118,180000,160.2000000
MOEX,60,20210118,190000,160.6500000
MOEX,60,20210118,200000,160.1500000
MOEX,60,20210118,210000,160.1100000
MOEX,60,20210118,220000,160.1000000
MOEX,60,20210118,230000,160.1500000
MOEX,60,20210119,000000,160.1600000
MOEX,60,20210119,110000,160.7500000
MOEX,60,20210119,120000,161.3400000
MOEX,60,20210119,130000,161.8000000
MOEX,60,20210119,140000,163.7900000
MOEX,60,20210119,150000,164.5000000
MOEX,60,20210119,160000,165.7800000
MOEX,60,20210119,170000,166.0400000
MOEX,60,20210119,180000,166.2300000
MOEX,60,20210119,190000,166.2300000
MOEX,60,20210119,200000,165.1000000
MOEX,60,20210119,210000,165.6700000
MOEX,60,20210119,220000,165.5300000
MOEX,60,20210119,230000,165.8200000
MOEX,60,20210120,000000,166.8900000
MOEX,60,20210120,110000,166.9000000
MOEX,60,20210120,120000,164.6400000
MOEX,60,20210120,130000,164.3700000
MOEX,60,20210120,140000,164.0700000
MOEX,60,20210120,150000,163.2500000
MOEX,60,20210120,160000,162.9500000
MOEX,60,20210120,170000,163.9100000
MOEX,60,20210120,180000,163.7500000
MOEX,60,20210120,190000,162.6500000
MOEX,60,20210120,200000,163.2000000
MOEX,60,20210120,210000,163.7400000
MOEX,60,20210120,220000,163.9000000
MOEX,60,20210120,230000,163.8400000
MOEX,60,20210121,000000,164.2200000
MOEX,60,20210121,110000,165.4600000
MOEX,60,20210121,120000,160.7200000
MOEX,60,20210121,130000,161.3600000
MOEX,60,20210121,140000,161.0500000
MOEX,60,20210121,150000,160.4600000
MOEX,60,20210121,160000,160.4500000
MOEX,60,20210121,170000,160.4600000
MOEX,60,20210121,180000,159.6800000
MOEX,60,20210121,190000,159.5000000
MOEX,60,20210121,200000,159.2000000
MOEX,60,20210121,210000,159.7200000
MOEX,60,20210121,220000,159.5000000
MOEX,60,20210121,230000,159.7000000
MOEX,60,20210122,000000,159.5700000
MOEX,60,20210122,110000,158.3500000
MOEX,60,20210122,120000,157.6900000
MOEX,60,20210122,130000,158.5800000
MOEX,60,20210122,140000,157.7300000
MOEX,60,20210122,150000,157.5800000
MOEX,60,20210122,160000,157.7400000
MOEX,60,20210122,170000,157.1000000
MOEX,60,20210122,180000,157.3500000
MOEX,60,20210122,190000,158.0600000
MOEX,60,20210122,200000,158.4700000
MOEX,60,20210122,210000,158.4400000
MOEX,60,20210122,220000,158.4700000
MOEX,60,20210122,230000,158.2900000
MOEX,60,20210123,000000,158.6600000
MOEX,60,20210125,110000,160.8400000
MOEX,60,20210125,120000,160.6400000
MOEX,60,20210125,130000,160.1500000
MOEX,60,20210125,140000,160.9000000
MOEX,60,20210125,150000,161.2800000
MOEX,60,20210125,160000,161.3500000
MOEX,60,20210125,170000,161.5200000
MOEX,60,20210125,180000,162.5600000
MOEX,60,20210125,190000,162.8800000
MOEX,60,20210125,200000,162.7800000
MOEX,60,20210125,210000,162.2700000
MOEX,60,20210125,220000,162.8000000
MOEX,60,20210125,230000,162.7400000
MOEX,60,20210126,000000,162.8000000
MOEX,60,20210126,110000,161.5200000
MOEX,60,20210126,120000,162.4100000
MOEX,60,20210126,130000,162.7800000
MOEX,60,20210126,140000,162.2700000
MOEX,60,20210126,150000,162.1500000
MOEX,60,20210126,160000,162.2800000
MOEX,60,20210126,170000,162.0600000
MOEX,60,20210126,180000,162.2600000
MOEX,60,20210126,190000,162.8900000
MOEX,60,20210126,200000,162.8400000
