<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SNGS,60,20210118,160000,36.2600000
SNGS,60,20210118,170000,36.0900000
SNGS,60,20210118,180000,36.2300000
SNGS,60,20210118,190000,36.0650000
SNGS,60,20210118,200000,36.2450000
SNGS,60,20210118,210000,36.1550000
SNGS,60,20210118,220000,36.1850000
SNGS,60,20210118,230000,36.1600000
SNGS,60,20210119,000000,36.2050000
SNGS,60,20210119,110000,36.2500000
SNGS,60,20210119,120000,36.1950000
SNGS,60,20210119,130000,36.2450000
SNGS,60,20210119,140000,36.2950000
SNGS,60,20210119,150000,36.3150000
SNGS,60,20210119,160000,36.2700000
SNGS,60,20210119,170000,36.0650000
SNGS,60,20210119,180000,35.9100000
SNGS,60,20210119,190000,35.9500000
SNGS,60,20210119,200000,35.9600000
SNGS,60,20210119,210000,36.0100000
SNGS,60,20210119,220000,35.9950000
SNGS,60,20210119,230000,36.0100000
SNGS,60,20210120,000000,36.0450000
SNGS,60,20210120,110000,35.9900000
SNGS,60,20210120,120000,36.1400000
SNGS,60,20210120,130000,36.1500000
SNGS,60,20210120,140000,36.0700000
SNGS,60,20210120,150000,35.9900000
SNGS,60,20210120,160000,36.1250000
SNGS,60,20210120,170000,36.0050000
SNGS,60,20210120,180000,35.8300000
SNGS,60,20210120,190000,35.9900000
SNGS,60,20210120,200000,35.9050000
SNGS,60,20210120,210000,35.9350000
SNGS,60,20210120,220000,35.9000000
SNGS,60,20210120,230000,35.9250000
SNGS,60,20210121,000000,35.9250000
SNGS,60,20210121,110000,35.9950000
SNGS,60,20210121,120000,35.2250000
SNGS,60,20210121,130000,34.8100000
SNGS,60,20210121,140000,34.8850000
SNGS,60,20210121,150000,34.8500000
SNGS,60,20210121,160000,35.1000000
SNGS,60,20210121,170000,35.0500000
SNGS,60,20210121,180000,34.8000000
SNGS,60,20210121,190000,34.7500000
SNGS,60,20210121,200000,34.8950000
SNGS,60,20210121,210000,34.8400000
SNGS,60,20210121,220000,34.8450000
SNGS,60,20210121,230000,34.8850000
SNGS,60,20210122,000000,34.8850000
SNGS,60,20210122,110000,35.0350000
SNGS,60,20210122,120000,34.8250000
SNGS,60,20210122,130000,34.9200000
SNGS,60,20210122,140000,34.9550000
SNGS,60,20210122,150000,34.9400000
SNGS,60,20210122,160000,34.8800000
SNGS,60,20210122,170000,34.9150000
SNGS,60,20210122,180000,34.9300000
SNGS,60,20210122,190000,34.8800000
SNGS,60,20210122,200000,34.9550000
SNGS,60,20210122,210000,35.0100000
SNGS,60,20210122,220000,35.0400000
SNGS,60,20210122,230000,35.0450000
SNGS,60,20210123,000000,35.0200000
SNGS,60,20210125,110000,35.2000000
SNGS,60,20210125,120000,35.1600000
SNGS,60,20210125,130000,35.1250000
SNGS,60,20210125,140000,35.1450000
SNGS,60,20210125,150000,35.2000000
SNGS,60,20210125,160000,35.1450000
SNGS,60,20210125,170000,34.9450000
SNGS,60,20210125,180000,34.9500000
SNGS,60,20210125,190000,34.9900000
SNGS,60,20210125,200000,34.9300000
SNGS,60,20210125,210000,34.9500000
SNGS,60,20210125,220000,34.9750000
SNGS,60,20210125,230000,35.0100000
SNGS,60,20210126,000000,35.0550000
SNGS,60,20210126,110000,34.9350000
SNGS,60,20210126,120000,35.1300000
SNGS,60,20210126,130000,35.0250000
SNGS,60,20210126,140000,34.9450000
SNGS,60,20210126,150000,34.9000000
SNGS,60,20210126,160000,34.8650000
SNGS,60,20210126,170000,34.8050000
SNGS,60,20210126,180000,34.7600000
SNGS,60,20210126,190000,34.9900000
SNGS,60,20210126,200000,34.9000000
SNGS,60,20210126,210000,34.9100000
SNGS,60,20210126,220000,34.9150000
SNGS,60,20210126,230000,34.9200000
SNGS,60,20210127,000000,34.9250000
SNGS,60,20210127,110000,34.9000000
SNGS,60,20210127,120000,34.7450000
SNGS,60,20210127,130000,34.6900000
SNGS,60,20210127,140000,34.7350000
SNGS,60,20210127,150000,34.3400000
SNGS,60,20210127,160000,34.3200000
SNGS,60,20210127,170000,34.3150000
SNGS,60,20210127,180000,34.3000000
SNGS,60,20210127,190000,34.2100000
SNGS,60,20210127,200000,34.3000000
SNGS,60,20210127,210000,34.3500000
SNGS,60,20210127,220000,34.3800000
SNGS,60,20210127,230000,34.2900000
SNGS,60,20210128,000000,34.2700000
SNGS,60,20210128,110000,34.3250000
SNGS,60,20210128,120000,34.3000000
SNGS,60,20210128,130000,34.3400000
SNGS,60,20210128,140000,34.2400000
SNGS,60,20210128,150000,34.2250000
SNGS,60,20210128,160000,34.2050000
SNGS,60,20210128,170000,34.3950000
SNGS,60,20210128,180000,34.3050000
SNGS,60,20210128,190000,34.1750000
SNGS,60,20210128,200000,34.1950000
