<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX.SPBE:TQBR,60,20211129,160000,1013.9000000
MOEX.SPBE:TQBR,60,20211129,170000,1003.0000000
MOEX.SPBE:TQBR,60,20211129,180000,1003.5000000
MOEX.SPBE:TQBR,60,20211129,190000,1015.0000000
MOEX.SPBE:TQBR,60,20211129,200000,1016.1000000
MOEX.SPBE:TQBR,60,20211129,210000,1013.1000000
MOEX.SPBE:TQBR,60,20211129,220000,1016.6000000
MOEX.SPBE:TQBR,60,20211129,230000,1018.9000000
MOEX.SPBE:TQBR,60,20211130,000000,1026.7000000
MOEX.SPBE:TQBR,60,20211130,110000,1020.0000000
MOEX.SPBE:TQBR,60,20211130,120000,1023.0000000
MOEX.SPBE:TQBR,60,20211130,130000,1007.5000000
MOEX.SPBE:TQBR,60,20211130,140000,1009.2000000
MOEX.SPBE:TQBR,60,20211130,150000,1005.5000000
MOEX.SPBE:TQBR,60,20211130,160000,999.9000000
MOEX.SPBE:TQBR,60,20211130,170000,996.8000000
MOEX.SPBE:TQBR,60,20211130,180000,991.1000000
MOEX.SPBE:TQBR,60,20211130,190000,984.0000000
MOEX.SPBE:TQBR,60,20211130,200000,993.9000000
MOEX.SPBE:TQBR,60,20211130,210000,997.0000000
MOEX.SPBE:TQBR,60,20211130,220000,997.0000000
MOEX.SPBE:TQBR,60,20211130,230000,998.1000000
MOEX.SPBE:TQBR,60,20211201,000000,997.0000000
MOEX.SPBE:TQBR,60,20211201,110000,1007.1000000
MOEX.SPBE:TQBR,60,20211201,120000,1006.9000000
MOEX.SPBE:TQBR,60,20211201,130000,1007.5000000
MOEX.SPBE:TQBR,60,20211201,140000,1007.3000000
MOEX.SPBE:TQBR,60,20211201,150000,1005.3000000
MOEX.SPBE:TQBR,60,20211201,160000,1000.4000000
MOEX.SPBE:TQBR,60,20211201,170000,1000.8000000
MOEX.SPBE:TQBR,60,20211201,180000,997.4000000
MOEX.SPBE:TQBR,60,20211201,190000,998.0000000
MOEX.SPBE:TQBR,60,20211201,200000,1002.4000000
MOEX.SPBE:TQBR,60,20211201,210000,1004.0000000
MOEX.SPBE:TQBR,60,20211201,220000,1002.9000000
MOEX.SPBE:TQBR,60,20211201,230000,1004.6000000
MOEX.SPBE:TQBR,60,20211202,000000,1008.3000000
MOEX.SPBE:TQBR,60,20211202,110000,1006.3000000
MOEX.SPBE:TQBR,60,20211202,120000,1001.2000000
MOEX.SPBE:TQBR,60,20211202,130000,1000.0000000
MOEX.SPBE:TQBR,60,20211202,140000,995.7000000
MOEX.SPBE:TQBR,60,20211202,150000,991.7000000
MOEX.SPBE:TQBR,60,20211202,160000,986.7000000
MOEX.SPBE:TQBR,60,20211202,170000,984.1000000
MOEX.SPBE:TQBR,60,20211202,180000,979.8000000
MOEX.SPBE:TQBR,60,20211202,190000,981.5000000
MOEX.SPBE:TQBR,60,20211202,200000,984.6000000
MOEX.SPBE:TQBR,60,20211202,210000,986.0000000
MOEX.SPBE:TQBR,60,20211202,220000,989.0000000
MOEX.SPBE:TQBR,60,20211202,230000,985.9000000
MOEX.SPBE:TQBR,60,20211203,000000,983.5000000
MOEX.SPBE:TQBR,60,20211203,110000,987.1000000
MOEX.SPBE:TQBR,60,20211203,120000,986.0000000
MOEX.SPBE:TQBR,60,20211203,130000,970.3000000
MOEX.SPBE:TQBR,60,20211203,140000,979.3000000
MOEX.SPBE:TQBR,60,20211203,150000,971.7000000
MOEX.SPBE:TQBR,60,20211203,160000,965.0000000
MOEX.SPBE:TQBR,60,20211203,170000,963.8000000
MOEX.SPBE:TQBR,60,20211203,180000,964.0000000
